goals,assists,goals_per_match,assists_per_match,yellowCards,redCards,matches_played
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,5
0.0,1,0.0,0.3333333333333333,0,0,3
0.0,1,0.0,0.25,86,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,93,0,3
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,98,0,3
0.0,0,0.0,0.0,56,0,3
0.0,0,0.0,0.0,23,0,3
0.0,0,0.0,0.0,0,0,3
1.0,0,0.2,0.0,0,0,5
1.0,0,0.3333333333333333,0.0,130,0,3
0.0,0,0.0,0.0,87,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,2
0.0,0,0.0,0.0,95,0,3
0.0,0,0.0,0.0,0,0,3
2.0,1,0.4,0.2,81,0,5
0.0,0,0.0,0.0,0,0,4
1.0,1,0.25,0.25,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,93,0,2
0.0,0,0.0,0.0,0,0,5
0.0,1,0.0,0.14285714285714285,0,0,7
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,87,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
1.0,0,0.14285714285714285,0.0,0,0,7
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,7
1.0,0,0.25,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
1.0,0,0.3333333333333333,0.0,0,0,3
1.0,1,0.3333333333333333,0.3333333333333333,23,0,3
0.0,1,0.0,0.3333333333333333,0,0,3
0.0,0,0.0,0.0,0,0,3
1.0,1,0.14285714285714285,0.14285714285714285,0,0,7
0.0,0,0.0,0.0,0,0,3
0.0,1,0.0,0.14285714285714285,76,0,7
0.0,0,0.0,0.0,89,0,7
3.0,2,0.42857142857142855,0.2857142857142857,63,0,7
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,5
3.0,0,0.75,0.0,0,0,4
2.0,1,0.5,0.25,68,0,4
0.0,0,0.0,0.0,11,0,3
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,100,0,3
2.0,2,0.6666666666666666,0.6666666666666666,0,0,3
0.0,0,0.0,0.0,39,0,3
0.0,1,0.0,0.25,113,0,4
0.0,0,0.0,0.0,0,0,3
0.0,1,0.0,0.3333333333333333,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,4
1.0,0,0.2,0.0,0,0,5
0.0,0,0.0,0.0,48,0,3
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,7
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,7
0.0,0,0.0,0.0,40,0,3
1.0,0,0.5,0.0,0,0,2
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,85,0,3
1.0,0,0.14285714285714285,0.0,0,0,7
1.0,2,0.14285714285714285,0.2857142857142857,88,0,7
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,43,0,5
0.0,1,0.0,0.3333333333333333,0,0,3
0.0,0,0.0,0.0,92,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,14,0,7
0.0,0,0.0,0.0,0,0,4
1.0,0,0.3333333333333333,0.0,12,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
1.0,1,0.25,0.25,118,0,4
0.0,0,0.0,0.0,33,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,67,0,3
0.0,1,0.0,0.14285714285714285,0,0,7
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,2
0.0,0,0.0,0.0,0,0,7
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
1.0,0,0.25,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,18,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,79,0,3
0.0,1,0.0,0.3333333333333333,0,0,3
0.0,1,0.0,0.25,40,0,4
4.0,0,0.8,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,77,0,4
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,7
0.0,0,0.0,0.0,129,0,4
3.0,1,0.42857142857142855,0.14285714285714285,0,0,7
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,44,0,3
1.0,0,0.14285714285714285,0.0,135,0,7
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
1.0,0,0.25,0.0,63,0,4
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,74,0,7
0.0,0,0.0,0.0,0,0,7
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,4
1.0,2,0.25,0.5,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,4
0.0,0,0.0,0.0,93,0,3
0.0,0,0.0,0.0,71,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,5
0.0,0,0.0,0.0,84,0,3
0.0,0,0.0,0.0,0,0,4
1.0,1,0.25,0.25,0,0,4
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
0.0,0,0.0,0.0,0,0,3
1.0,0,0.3333333333333333,0.0,0,0,3
